ID,CQ
awo_1,Which animal eats which other animal?
awo_2,Is [this animal] a herbivore?
awo_3,Which plant parts does [this omnivorous or herbivorourus animal] eat?
awo_4,Does a lion eat plants or plant parts?
awo_5,Is there an animal that does not drink water?
awo_6,Which plants eat animals?
awo_7,Which animals eat [these animals]?
awo_8,Which animals are the predators of [these animals]?
awo_9,Are there [these animals] in [this country]?
awo_10,Which country do I have to visit to see [these animals]?
awo_11,In what kind of habitat do [this animal] live?
awo_12,Which animals are endangered?
awo_13,Do [this animal] and [this animal] live in the same habitat?
awo_14,Are there animals that are carnivore but still eat some plants or parts of plants?
